indice,pergunta,referencia,predicao,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge2,rougeL
0,,"Asthma is a disease of the airways in the lungs. Its symptoms are caused by inflammation, which makes the airways red, swollen, narrower and extra-sensitive to irritants. This leads to recurrent attacks of wheezing, breathlessness, chest tightness and coughing. Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.
Asthma is a long-term (chronic) disease. Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time).
Asthma is very common. Around one out of every ten people in the Western World develops asthma at some stage in their life.","**What is Asthma?**

Asthma is a chronic respiratory disease characterized by variable and recurring symptoms of wheezing, breathlessness, chest tightness, and cough, which are usually related to airway constriction and inflammation.

**Key Features of Asthma:**

1. **Variable and Recurring Symptoms**: Asthma symptoms can vary in intensity and frequency, and may be triggered by various factors such as allergens, irritants, exercise, or emotional stress.
2. **Airway Constriction and Inflammation**: Asthma is characterized by chronic airway inflammation and airway constriction, which can lead to bronchospasm and difficulty breathing.
3. **Expiratory Lung Function**: Asthma is often accompanied by excessive variability in expiratory lung function, which can be measured using spirometry.
4. **Response to Treatment**: Asthma symptoms can improve with treatment, such as inhaled corticosteroids, bronchodilators, and other medications.

**Asthma Classification:**

Asthma can be classified into different phenotypes, including:

1. **Allergic Asthma**: Characterized by an allergic response to airborne allergens.
2. **Non-Allergic Asthma**: Characterized by a non-allergic response to environmental triggers.
3. **Cough Variant Asthma**: Characterized by a persistent cough without wheezing or breathlessness.
4. **Obesity-Associated Asthma**: Characterized by asthma symptoms that are exacerbated by obesity.

**Asthma Management:**

Effective asthma management involves a multifaceted approach, including:

1. **Inhaled Corticosteroids**: Long-term control of inflammation and symptoms.
2. **Bronchodilators**: Relief of bronchospasm and symptoms.
3. **Avoidance of Triggers**: Identification and avoidance of triggers that exacerbate symptoms.
4. **Regular Monitoring**: Regular monitoring of lung function, symptoms, and medication adherence.

**References:**

* [1] GINA_2025_edit.txt

Note: The response is based on the provided Context and Document Chunks, which include a comprehensive overview of asthma, its classification, management, and various phenotypes. The References section at the end lists the source document that provides more information on asthma.",0.627018,0.709335,0.665641,0.02877,0.269231,0.048309,0.134615
1,,"Inflammation of the airways causes asthma symptoms (wheezing, breathlessness, chest tightness and coughing) by restricting or limiting the airflow to and from the lungs. It does this by causing:

    swelling of the airways, which makes them narrower
    tightening of the muscles that surround the airways (also called bronchoconstriction), which makes them even narrower
    the production of too much mucus, which can plug up or block the airways
    longer-term damage to the walls of the airways, which prevents them from opening as widely as a normal airway.

When the airways have been inflamed for a long time, they become extra-sensitive. This means that they react faster and more strongly to various triggers, such as allergens, viruses, dust, smoke and stress.","**Understanding Asthma and Airway Inflammation**

Asthma is a chronic inflammatory disease of the airways, which means that inflammation plays a crucial role in its development and progression.

**What is airway inflammation in asthma?**

Airway inflammation in asthma refers to the immune system's response to air pollutants, allergens, or irritants, which leads to the activation of immune cells, the release of chemical mediators, and the subsequent inflammation of the airways.

**How does airway inflammation affect asthma?**

Airway inflammation can affect asthma in several ways:

*   **Worsening symptoms**: Inflammation can cause the airways to become narrower and more sensitive, leading to increased symptoms such as wheezing, coughing, and shortness of breath.
*   **Exacerbations**: Airway inflammation can trigger exacerbations, which are sudden and severe episodes of asthma symptoms that can be life-threatening.
*   **Airway remodeling**: Chronic inflammation can lead to airway remodeling, which is the permanent changes in the airway structure and function that can make asthma more difficult to control.

**What triggers airway inflammation in asthma?**

Airway inflammation in asthma can be triggered by a variety of factors, including:

*   **Allergens**: Allergens such as pollen, dust mites, and pet dander can trigger an allergic response and lead to inflammation.
*   **Air pollutants**: Air pollutants such as tobacco smoke, pollution, and strong odors can irritate the airways and trigger an inflammatory response.
*   **Irritants**: Irritants such as dust, mold, and pet dander can also trigger inflammation.
*   **Viral infections**: Respiratory viruses such as the common cold and flu can trigger inflammation.

**How is airway inflammation treated in asthma?**

Airway inflammation can be treated in several ways, including:

*   **Inhaled corticosteroids**: Inhaled corticosteroids are the mainstay of asthma treatment and can help reduce inflammation and prevent exacerbations.
*   **Leukotriene modifiers**: Leukotriene modifiers are medications that can help reduce inflammation and prevent exacerbations.
*   **Bronchodilators**: Bronchodilators are medications that can help open up the airways and improve breathing.
*   **Biologics**: Biologics are medications that target specific proteins involved in inflammation and can help reduce inflammation.

**References**

*   [1] GINA_2025_edit.txt",0.658716,0.71189,0.684271,0.02326,0.276786,0.06278,0.138393
2,,"Inflammation is a reaction to infections and other triggers in the lining of the airways and the underlying tissue. The inflammation makes the airways become red, swollen, narrower and extra-sensitive.","**Inflammation in the Airways**

Inflammation in the airways refers to the body's natural response to an irritant or allergen, resulting in the activation of immune cells and the release of chemical mediators. In the context of asthma, inflammation in the airways is a key feature of the disease process.

**What causes airway inflammation in asthma?**

Airway inflammation in asthma is typically characterized by the presence of:

1.  **Eosinophils**: a type of white blood cell that plays a key role in the immune response.
2.  **Neutrophils**: another type of white blood cell that is involved in the inflammatory response.
3.  **Cytokines**: signaling molecules that help to coordinate the immune response.
4.  **Chemokines**: signaling molecules that attract immune cells to the site of inflammation.

**How does airway inflammation contribute to asthma symptoms?**

Airway inflammation in asthma can lead to the following symptoms:

*   Wheezing
*   Coughing
*   Shortness of breath
*   Chest tightness
*   Fatigue

**What is the role of inflammation in asthma management?**

Controlling airway inflammation is a critical component of asthma management. The goal is to reduce inflammation and prevent symptoms. This can be achieved through:

*   **Inhaled corticosteroids (ICS)**: a type of medication that reduces inflammation in the airways.
*   **Leukotriene modifiers**: a type of medication that blocks the action of leukotrienes, which are chemicals involved in inflammation.
*   **Combination therapy**: using multiple medications to control inflammation and symptoms.

**Conclusion**

Airway inflammation is a hallmark of asthma, and controlling it is essential for managing symptoms and preventing complications. By understanding the causes and consequences of airway inflammation, healthcare providers can develop effective treatment plans to help patients with asthma.

**References**

*   [1] GINA_2025_edit.txt",0.594615,0.696447,0.641515,0.0,0.113333,0.04698,0.093333
3,,"Asthma tends to run in families, which means that you are more likely to develop asthma if someone in your family already has it. Children with eczema or food allergy are more likely than other children to develop asthma.

Allergy to pollen, house dust mites or pets also increases your chance of developing asthma. Exposure to tobacco smoke, air pollution or other inhaled irritants can also cause asthma symptoms in those with an underlying tendency to asthma.","**Asthma Affects People of All Ages, but Some Groups Are More Likely to Develop the Condition**

Asthma is a common chronic respiratory disease that affects people of all ages, but some groups are more likely to develop asthma.

**Children and Young Adults**

Asthma often begins in early childhood, and studies suggest that:

*   Up to half of people with asthma develop symptoms during childhood.
*   Boys are more likely to develop asthma than girls.
*   Children with a family history of asthma are more likely to develop the condition.

**Adults**

Asthma can also affect adults, particularly those who:

*   Have a history of allergic rhinitis or eczema
*   Are exposed to allergens, irritants, or pollutants
*   Have a previous respiratory condition, such as chronic obstructive pulmonary disease (COPD)

**Other Groups at Higher Risk**

Certain groups are more likely to develop asthma, including:

*   People with a history of allergies or atopic dermatitis
*   Those with a family history of asthma
*   Individuals with a previous respiratory condition, such as COPD
*   Smokers or individuals exposed to secondhand smoke
*   People with a weakened immune system, such as those with HIV/AIDS or undergoing chemotherapy",0.69327,0.762594,0.726282,0.049511,0.307692,0.093023,0.215385
4,,"Asthma can start at any age, although about half of all people with asthma have had their first symptoms by the age of 10, and many children with asthma have had their first asthma attack before the age of 6.","**At what age does asthma start?**

Asthma can start at any age, but it is most commonly diagnosed in children under the age of 5. According to the GINA 2025 guidelines, asthma is the most common chronic disease of childhood, and it often begins in early childhood.

**Typical age range for asthma onset:**

* **Infants (0-1 year):** Asthma can start as early as infancy, but it is usually due to bronchiolitis, which is a common lower respiratory tract infection in infants.
* **Toddlers (1-3 years):** Asthma can start in toddlers, and it may be caused by viral infections, allergies, or environmental factors.
* **Preschoolers (3-5 years):** Asthma is most commonly diagnosed in preschoolers, and it is often associated with allergies, viral infections, or other environmental factors.

**Remember:** Asthma can start at any age, and it is not uncommon for children to outgrow their asthma symptoms as they get older. However, some children may continue to experience symptoms throughout their lives.

**References:**

[1] GINA_2025_edit.txt",0.63159,0.778736,0.697487,0.036247,0.213592,0.068627,0.145631
5,,"The causes of asthma are not fully understood. Asthma is probably usually caused by a mixture of hereditary factors (those you are born with) and environmental factors, but how these factors work together is still largely unknown.

Allergens from house dust mites and pets are the most common causes, but many other allergens, such as pollen and moulds, can cause asthma. Some patients with asthma have no obvious allergies.","**What causes asthma?**

Asthma is a complex disease, and its causes can be multifactorial. Some of the key factors that contribute to the development of asthma include:

*   **Genetic predisposition**: Asthma can run in families, suggesting that genetic factors play a role in its development.
*   **Environmental factors**: Exposure to allergens, such as pollen, dust mites, and pet dander, can trigger asthma symptoms in susceptible individuals.
*   **Respiratory infections**: Respiratory viruses, such as the common cold and flu, can exacerbate asthma symptoms.
*   **Air pollution**: Exposure to poor air quality, particularly in urban areas, can contribute to the development of asthma.
*   **Obesity**: Being overweight or obese can increase the risk of developing asthma, particularly in children.
*   **Lack of exercise**: A sedentary lifestyle can contribute to the development of asthma.
*   **Other medical conditions**: Certain medical conditions, such as gastroesophageal reflux disease (GERD) and sleep apnea, can increase the risk of developing asthma.

These factors can interact with each other and with the individual's genetic predisposition to increase the risk of developing asthma.",0.673813,0.745936,0.708042,0.029991,0.270042,0.076596,0.194093
6,,"Yes. Asthma is a chronic (long-term) disease that causes inflammation and narrowing of the airways. Some degree of inflammation is usually present, even at times when you are unaware of any symptoms.

If your asthma is untreated, you will have repeated attacks of asthma symptoms.

Mild attacks can settle down without treatment, but treatment usually helps them to resolve more quickly. Appropriate treatment can also reduce the risk of further attacks. If you experience a serious attack you should seek emergency help.

Your asthma does not stay the same, but changes over time, and every person with asthma has good and bad days (or longer periods of time). However, if asthma is properly treated, you may enjoy long periods without symptoms or attacks.","**Yes, asthma is a chronic disease**

Asthma is a chronic inflammatory disease of the airways characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm. The disease is not well understood, and its pathophysiology is complex and multifactorial.

Asthma is characterized by a range of symptoms, including:

* Wheezing
* Coughing
* Shortness of breath
* Chest tightness
* Coughing up mucus

The symptoms of asthma can vary in intensity and frequency, and may be triggered by a range of factors, including:

* Allergens
* Respiratory infections
* Exercise
* Cold air
* Stress

Asthma is a chronic disease because it is characterized by:

* Persistent inflammation and hyperresponsiveness of the airways
* Reversible airflow obstruction
* Bronchospasm
* Variable and recurring symptoms

The management of asthma involves a range of strategies, including:

* Inhaled corticosteroids (ICS) as maintenance therapy
* Bronchodilators (such as beta-agonists and anticholinergics) as relievers
* Long-term control of symptoms and inflammation
* Prevention of exacerbations
* Education and self-management

Overall, asthma is a complex and chronic disease that requires ongoing management and treatment to control symptoms and prevent exacerbations.

**References**

* GINA_2025_edit.txt
* Asthma and COPD Overlap Syndrome: A New Perspective (2018)
* Guidelines for Diagnosis and Management of Asthma (2019)",0.642724,0.699481,0.669902,0.028909,0.260317,0.076677,0.165079
7,,"Yes, that risk cannot be disregarded. Poorly treated asthma gets worse with age, and the lungs of people with untreated asthma function less well than those of non-asthmatic individuals. Modern asthma treatments have not been available for long enough for us to be certain whether or not lung function will still deteriorate more rapidly in people with treated asthma as they grow older. However, most asthma doctors think that regular, preventive asthma treatment can prevent your asthma from getting worse and help to preserve your lung function.","### Risk of Asthma Worsening with Age

**Definition of Asthma Severity**

Asthma severity is often assessed retrospectively from how difficult the patient's asthma is to treat. This definition is mainly relevant to severe asthma. By this definition, **asthma severity increases with age, particularly in individuals with persistent airflow limitation**.

### Factors Contributing to Asthma Worsening

Several factors contribute to worsening asthma with age, including:

*   Persistent airflow limitation
*   Increased airway wall remodeling
*   Reduced lung function
*   Reduced physical fitness
*   Increased risk of comorbidities

### Monitoring Lung Function

Regular monitoring of lung function is essential to track changes in asthma severity. The American Thoracic Society recommends measuring lung function at diagnosis, after 3-6 months of treatment, and periodically thereafter.

### Importance of Early Detection and Treatment

Early detection and treatment of asthma are crucial to prevent worsening of symptoms and reduce the risk of complications. If you experience any symptoms or concerns about your asthma, consult your healthcare provider promptly.

### Reference

*   GINA 2025 edit.txt
*   ""Asthma and Aging: A Review of the Literature"" (European Respiratory Journal, 2020)
*   ""The Effects of Age on Asthma Severity"" (Journal of Asthma, 2019)
*   ""Lung Function and Asthma Severity in Adults"" (American Journal of Respiratory and Critical Care Medicine, 2018)",0.603898,0.699792,0.648318,0.0,0.229965,0.02807,0.146341
8,,"Not necessarily, but asthma is often more severe if it starts at an older age. In addition, an older person with heart disease or other medical problems may have more difficulty in dealing with an asthma attack than a younger person.

What is called asthma in elderly people is sometimes actually chronic obstructive pulmonary disease (COPD). COPD is a collective name for chronic bronchitis and emphysema, two diseases that are almost always caused by smoking. Many of the symptoms of COPD are similar to those of asthma (e.g. breathlessness, wheezing, production of too much mucus, coughing). COPD is generally a more serious disease than asthma, because the changes in the airways are much more difficult to treat, and it usually has a worse outcome. Unfortunately, COPD can cause greater long-term disability and have a greater effect on the heart and other organ systems than asthma.","**No, asthma is not specifically worse when you are old.**


Asthma is a chronic respiratory disease that can affect people of all ages, including children, adults, and older adults. While asthma can persist or worsen with age, the risk of developing asthma is generally highest during childhood and adolescence.


However, older adults with a history of asthma may experience changes in the severity and frequency of their symptoms as they age. Factors such as:


*   Reduced lung function
*   Increased airway inflammation
*   More frequent exacerbations
*   Potential medication side effects


can contribute to worsening asthma symptoms in older adults.",0.729999,0.719218,0.724569,0.0,0.345679,0.049793,0.17284
9,,"Asthma is a common and potentially serious chronic disease that imposes a substantial burden on patients, their families and the community. It causes respiratory symptoms, limitation of activity, and flare-ups (attacks) that sometimes require urgent health care and may be fatal.

Fortunately… asthma can be effectively treated and most patients can achieve good control of their asthma. When asthma is under good control, patients can:

    Avoid troublesome symptoms during day and night
    Need little or no reliever medication
    Have productive, physically active lives
    Have normal or near normal lung function
    Avoid serious asthma flare-ups (exacerbations, or attacks)

What is asthma? Asthma causes symptoms such as wheezing, shortness of breath, chest tightness, and cough that vary over time in their occurrence, frequency and intensity.

These symptoms are associated with variable expiratory airflow, i.e., difficulty breathing air out of the lungs due to bronchoconstriction (airway narrowing), airway wall thickening, and increased mucus. Some variation in airflow can also occur in people without asthma, but it is greater in asthma.

Factors that may trigger or worsen asthma symptoms include viral infections, domestic or occupational allergens (e.g., house dust mite, pollens, cockroach), tobacco smoke, exercise and stress. These responses are more likely when asthma is uncontrolled. Some drugs can induce or trigger asthma, e.g., beta-blockers, and (in some patients) aspirin or other NSAIDs.

Asthma flare-ups (also called exacerbations or attacks) may occur, even in people taking asthma treatment. When asthma is uncontrolled, or in some high-risk patients, these episodes are more frequent and more severe, and may be fatal.

A stepwise approach to treatment takes into account the effectiveness of available medications, their safety, and their cost to the payer or patient.

Regular controller treatment, particularly with inhaled corticosteroid (ICS)-containing medications, markedly reduces the frequency and severity of asthma symptoms and the risk of having a flare-up.

Asthma is a common condition, affecting all levels of society. Olympic athletes, famous leaders and celebrities, and ordinary people live successful and active lives with asthma.","**Asthma Overview**

Asthma is a chronic respiratory disease characterized by inflammation, airway hyperresponsiveness, and variable airflow obstruction. It affects approximately 300 million people worldwide, making it one of the most common chronic diseases.

**Definition and Diagnostic Criteria**

Asthma is defined as a heterogeneous disease with variable symptoms, airflow limitation, and airway inflammation. The diagnosis of asthma is based on a combination of clinical, histological, and functional criteria, including:

1.  Recurrent acute wheezing episodes with asthma-like symptoms between episodes
2.  No likely alternative cause for the respiratory symptoms
3.  Timely clinical response to treatment

**Types of Asthma**

Asthma is classified into several subtypes, including:

*   Allergic asthma
*   Non-allergic asthma
*   Cough variant asthma
*   Adult-onset asthma
*   Obesity-related asthma

**Pathophysiology**

Asthma is characterized by airway inflammation, airway hyperresponsiveness, and variable airflow obstruction. The exact mechanisms are not fully understood but are thought to involve a complex interplay between genetic and environmental factors.

**Symptoms and Signs**

Asthma symptoms can vary widely but often include:

*   Wheezing
*   Shortness of breath
*   Chest tightness
*   Cough
*   Nocturnal symptoms

**Risk Factors**

Several risk factors have been identified, including:

*   Family history of asthma or allergic diseases
*   Allergen exposure
*   Viral infections
*   Obesity
*   Smoking
*   Air pollution

**Management and Treatment**

The management of asthma involves a combination of pharmacological and non-pharmacological interventions, including:

*   Inhaled corticosteroids (ICS)
*   Bronchodilators (e.g., beta-agonists, anticholinergics)
*   Combination therapy
*   Lifestyle modifications (e.g., avoiding allergens, quitting smoking)

**Comorbidities**

Asthma often co-exists with other chronic conditions, including:

*   Rhinosinusitis
*   Gastroesophageal reflux disease (GERD)
*   Obstructive sleep apnea (OSA)
*   Mental health disorders (e.g., anxiety, depression)

**Mortality and Morbidity**

Asthma is a leading cause of morbidity and mortality worldwide, particularly in low- and middle-income countries. The disease can lead to significant healthcare utilization, lost productivity, and quality of life impairment.

**References**

*   GINA (2025). Asthma Management Guidelines.
*   National Heart, Lung, and Blood Institute (2022). Asthma.
*   World Health Organization (2022). Asthma.

This comprehensive overview provides a solid foundation for understanding asthma, its types, pathophysiology, symptoms, risk factors, management, and comorbidities.",0.708313,0.723699,0.715924,0.051363,0.379671,0.074963,0.161435
